City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,labrador city,52.9463,-66.9114,-13.05,78,100,2.57,CA,1701513828
82,peniche,39.3558,-9.3811,14.05,90,35,3.87,PT,1701513828
83,kapa'a,22.0752,-159.319,21.99,83,20,2.57,US,1701513829
84,antofagasta,-23.65,-70.4,17.6,75,53,2.93,CL,1701513720
85,arak,34.0917,49.6892,13.42,23,0,3.09,IR,1701513830
86,guelendeng,10.9176,15.5501,37.75,7,23,3.54,TD,1701513830
87,richmond,37.5538,-77.4603,12.17,95,100,2.06,US,1701513831
88,stanley,54.868,-1.6985,-1.51,100,0,0.51,GB,1701513831
89,kerikeri,-35.2268,173.9474,17.73,88,94,2.09,NZ,1701513832
90,hsinchu,24.8036,120.9686,20.48,81,78,1.34,TW,1701513832
91,sabha,27.0377,14.4283,23.79,13,38,5.14,LY,1701513833
92,yanbu,24.0891,38.0637,32.02,48,0,3.09,SA,1701513833
93,new norfolk,-42.7826,147.0587,15.72,88,100,0.85,AU,1701513834
94,buta,2.7858,24.73,33.87,43,68,1.35,CD,1701513834
95,margaret river,-33.95,115.0667,18.51,85,85,4.98,AU,1701513835
96,itoman,26.1247,127.6694,19.01,59,75,2.57,JP,1701513835
97,saipan,15.1355,145.701,28.39,78,40,8.75,MP,1701513836
98,susuman,62.7833,148.1667,-29.8,98,100,1.44,RU,1701513837
99,marrakesh,31.6315,-8.0083,16.04,77,75,2.57,MA,1701513837
100,georgetown,5.4112,100.3354,28.97,74,20,3.09,MY,1701513838
101,ouesso,1.6136,16.0517,24.12,87,100,0.92,CG,1701513838
102,sola,-13.8833,167.55,26.89,84,100,8.64,VU,1701513838
103,egilsstadir,65.2653,-14.3948,-2.05,93,100,1.03,IS,1701513839
104,el playon,7.4713,-73.2031,24.15,62,36,2.77,CO,1701513839
105,langxiang,46.95,128.8833,-15.63,99,43,1.46,CN,1701513840
106,narathiwat,6.3333,101.75,25.92,96,100,1.32,TH,1701513840
107,klyuchi,52.2667,79.1667,1.23,79,100,5.95,RU,1701513841
108,karratha,-20.7377,116.8463,25.84,67,0,8.21,AU,1701513841
109,puerto ayora,-0.7393,-90.3518,24.19,94,97,3.58,EC,1701513842
110,bilibino,68.0546,166.4372,-26.46,97,81,1.48,RU,1701513843
111,livingston,55.9029,-3.5226,0.88,95,75,1.03,GB,1701513844
112,hithadhoo,-0.6,73.0833,28.12,72,19,4.3,MV,1701513844
113,kendari,-3.945,122.4989,26.37,85,88,0.96,ID,1701513844
114,berezovyy,51.6667,135.7,-16.3,90,5,1.46,RU,1701513845
115,korfovskiy,48.2183,135.0564,-13.3,97,77,2.76,RU,1701513845
116,turochak,52.2576,87.1224,-1.56,98,100,0.75,RU,1701513846
117,la'ie,21.6477,-157.9253,22.98,87,85,3.08,US,1701513846
118,colonia,50.9333,6.95,0.54,69,100,2.57,DE,1701513766
119,lodja,-3.4833,23.4333,21.24,98,100,0.87,CD,1701513675
120,springfield,37.2153,-93.2982,3.97,94,100,0.89,US,1701513847
121,laguna,38.421,-121.4238,12.05,93,100,4.12,US,1701513848
122,newman,37.3138,-121.0208,8.99,83,57,1.32,US,1701513848
123,novyy urengoy,66.0833,76.6333,-19.25,90,77,5.17,RU,1701513849
124,rongelap,11.1635,166.8941,27.62,77,76,9.35,MH,1701513849
125,tiksi,71.6872,128.8694,-26.13,91,100,2.04,RU,1701513849
